Name,Team,IP,Pit+ FA,Pit+ SI,Pit+ FC,Pit+ FS,Pit+ SL,Pit+ CU,Pit+ CH,Pit+ KC,Pit+ FO,Stuff+,Location+,Pitching+,ERA,Name,Team,Season,Age,K/9,WHIP,BABIP,FIP,K%,NameASCII,PlayerId,MLBAMID
"Aroldis Chapman","- - -",94.2,90.27927823050058,144.26446700507614,,117.15894432613328,104.72794759825325,,,,,129.45556189422507,91.25975119713283,103.1166395047017,3.612676371754343,"Aroldis Chapman","- - -",2022,35,13.880282902003529,1.3204226504950083,0.2804232804232804,3.305940301166952,0.35696822,"Aroldis Chapman",10233,547973
"Andrés Muñoz","SEA",114,95.80221870047544,99.31886792452829,,,114.93473782771534,,,,,127.47749845960793,100.901581224095,107.14166923588375,2.6842107957750416,"Andrés Muñoz","SEA",2022,24,12.868422344450934,1.0526316846176633,0.31275720164609055,2.3228507293282834,0.35511983,"Andres Munoz",20373,662253
"Bryan Abreu","HOU",132.1,95.5290928050052,82.5,,,111.91894918173989,97.42692307692307,74.53333333333332,,,137.18787498354988,94.6774441825846,103.9951227370405,1.8362722696793363,"Bryan Abreu","HOU",2022,26,12.785895803693156,1.103274697008984,0.29454545454545455,2.5854879082031985,0.35140187,"Bryan Abreu",16609,650556
"Fernando Cruz","CIN",80.2,89.15218340611356,95.57777777777778,92.35167286245354,110.43075313807532,92.50399999999999,,,,,97.36313314037629,92.81612397491561,98.31063675832127,4.239670056380367,"Fernando Cruz","CIN",2022,33,13.276861492349044,1.2148762149861871,0.3050847457627119,2.894400593719765,0.34693878,"Fernando Cruz",7048,518585
"Liam Hendriks","CHW",62.2,110.36863999999998,,,,106.61428571428573,97.48431372549017,,,,132.18057971014485,98.42792270531393,107.9816425120773,3.015957569201756,"Liam Hendriks","CHW",2022,34,12.638298385226408,1.0372340846461066,0.2857142857142857,2.8844476964937047,0.34509804,"Liam Hendriks",3548,521230
"James Karinchak","CLE",78,101.90299760191847,,,,,109.34908789386401,,,,127.16924364830754,94.35657048333924,105.0436907701489,2.653846543216198,"James Karinchak","CLE",2022,27,13.153848083767244,1.217948896645115,0.24358974358974358,3.6324536916463486,0.34441088,"James Karinchak",20151,675916
"Tyler Glasnow","TBR",126.2,110.61011363636364,,,,103.37192474674384,116.59411764705882,83.8,,,123.07671693980257,100.88835008028381,109.30342995310714,3.4105263329080597,"Tyler Glasnow","TBR",2022,29,12.221052692920548,1.0736842159155002,0.2912280701754386,2.9159556554670067,0.33659491,"Tyler Glasnow",14374,607192
"Joe Kelly","- - -",76.1,97.04241348713397,90.15044642857143,,,116.39021739130435,,93.51985294117648,106.8016085790885,,109.79076321457687,96.01089226199731,101.86530734031173,5.069869586812767,"Joe Kelly","- - -",2022,35,13.323145658368434,1.3886464501347628,0.3448275862068966,2.8846052198498673,0.33431953,"Joe Kelly",9761,523260
"Jhoan Duran","MIN",130,101.07043568464731,,,102.84784443272353,100.47419354838709,115.39485903814266,,,,129.1340694747958,100.29103892299807,105.658963196781,2.1461539721065797,"Jhoan Duran","MIN",2022,25,11.976923779820591,1.053846215693912,0.2926829268292683,2.850041108671562,0.33205374,"Jhoan Duran",21029,661395
"A.J. Minter","ATL",134.2,106.71728395061729,,108.0124837451235,,,,107.26934097421203,,,120.80761032774839,103.3388147952881,107.0386297425244,2.873762756127448,"A.J. Minter","ATL",2022,29,11.762377792521647,1.0470298413797678,0.3081967213114754,2.4977433240389844,0.33145009,"A.J. Minter",18655,621345
